names	ranges_mean	ranges_max	rangesc_mean	rangesc_max
DDX11L1	0.1358840811965812	7.337740384615385	0.0673572820941242	3.6372932330827066
WASH7P	4.249819577887093	13.365275089853471	1.8433032216748009	2.4918300653594776
MIR1302-2HG	4.967308445177907	53.14525139664805	0.919968870542489	10.858757062146893
OR4G4P	13.334294350491605	59.77301387137453	2.9293442374057297	18.812903225806455
OR4G11P	17.20319667563371	56.46017699115045	3.2720670273311434	6.275862068965517
OR4F5	25.578080376178974	65.88007736943908	5.67137356530598	65.88007736943908
RP11-34P13.7	28.65948506504104	105.21739130434783	6.919061026239519	26.813953488372093
CICP27	14.86845745957404	57.36774193548387	4.647542792445223	9.623529411764705
RP11-34P13.15	9.642023392320153	29.849462365591396	3.4573924281529704	9.623996971990916
RP11-34P13.16	9.514411322253874	26.908337648886587	3.6986442585650954	7.571137026239067
RP11-34P13.14	4.949260982347166	26.738122827346466	2.3885181409139817	16.936821952776004
RP11-34P13.13	7.572385703940983	17.11645101663586	3.63440301337064	7.259842519685039
ABC7-43046700E7.1	15.986413987350588	79.41775836972344	6.13832775189224	13.69258589511754
RP11-34P13.18	3.1355731786547247	7.397500743826242	1.6058808164453726	2.100491534680503
AP006222.2	6.066406625176662	14.857990674014413	2.7992129550616673	5.929739908202895
RPL23AP24	6.652184287787143	21.44037780401417	2.7544695572506264	4.8730158730158735
RP4-669L17.2	6.708677333542038	77.02803738317758	1.3877014090510829	19.626168224299064
RP4-669L17.10	5.122081584758085	15.066751430387795	2.4972111293404957	3.741007194244604
WBP1LP7	9.858678763095677	44.166666666666664	2.286150017931105	12.020710059171599
OR4F29	20.561326388671294	60.575221238938056	3.1684590809140323	6.699300699300699
CICP7	6.63867279798891	48.507462686567166	1.7195480580001414	7.148387096774194
RP4-669L17.8	41.232070768370015	310.7643312101911	3.0425039092539072	20.583333333333332
RP5-857K21.4	8.028450192973853	48.61598440545809	3.084065654975985	6.63905325443787
MTND1P23	608.9373113268472	1284.9835252309879	240.3589930266065	415.804433497537
MTND2P28	6.873562702026182	40.4764803541782	2.1855757777342464	4.621606648199446
MTCO1P12	56.9580107664288	134.33171608265948	7.871693374625845	38.929484304932735
MTCO2P12	100.91077998110235	221.3602564102564	2.9402363523364894	4.970799180327869
MTATP8P1	24.017874341079988	58.654818969913315	3.358894750533082	4.725960170697014
MTATP6P1	2.9963650270874886	9.31086019163763	1.1571743319511525	2.216387012421007
MTCO3P12	109.47827988121414	340.6168557536467	7.0005388376603435	16.977190082644626
WBP1LP6	8.313005236356524	87.20848056537103	1.4797427470168818	5.892725936811169
OR4F16	8.184137711588237	28.72685185185185	2.6245187616320296	5.908878504672898
CICP3	7.702222567430441	34.66210436270317	2.6143403432345593	5.1073446327683625
RP11-206L10.2	3.7857093762113228	12.408612686952036	1.7987952387551032	3.212739513205593
RP11-206L10.4	4.631945222155639	23.464419475655426	1.4610269274315069	6.416161616161616
RP11-206L10.9	3.574214855292073	8.611009174311926	1.6391528047681343	3.836109422492401
RP11-206L10.8	4.359588213927849	15.591356357322013	2.0756816666803046	3.602820438520236
FAM87B	5.523970604926014	12.875574112734864	2.187775988036244	4.231182795698925
LINC01128	2.8221924234103333	9.584500122819946	1.3252120533269016	3.0698867924528304
LINC00115	4.69375582215368	11.338918974149381	2.1571432916165314	3.933725611644472
FAM41C	22.572300907644824	141.09452736318408	4.182488751645279	12.284172661870503
TUBB8P11	14.989535807325225	54.086956521739125	4.550993539744787	9.372937293729372
FAM166AP3	5.620046250662426	22.796875	1.832573229977472	6.61259842519685
RP11-54O7.16	18.577249858584228	174.17018708509354	4.824874775984059	13.036520636932583
RP11-54O7.1	25.50342690187562	135.7823600762433	4.191955154704645	14.638630219285073
RP11-54O7.3	13.326720692607312	89.99837371930396	3.8446439417398857	22.333388704318935
SAMD11	12.783166394980961	69.03310810810812	3.699837280135527	21.061377613776138
NOC2L	2.130228464145984	6.408939765603708	1.0521927316626634	2.467067468269873
KLHL17	3.469231563736656	9.426752303825749	1.4921222081326846	3.6583044982698962
PLEKHN1	15.26589540522297	87.8206840720502	4.760198010626861	87.8206840720502
PERM1	19.137899746059812	199.76757699012202	3.251122911179618	12.392445439283717
RP11-54O7.17	13.400349137973112	146.68803418803418	3.4891630938613427	9.954010695187165
HES4	10.792688440133938	232.53112033195018	2.6071817412203973	10.791840133222314
ISG15	48.49278140359384	198.25779169929524	2.673349238716392	9.529690189328743
RP11-54O7.10	5.712832991535457	108.37789661319071	1.5698201485541956	11.40274450010891
RP11-54O7.11	12.892581647600274	116.61264181523501	3.7114451963716135	10.364474235441978
AGRN	3.938242070172566	21.18839068474105	1.6974959095825897	5.129703476482616
RP11-465B22.3	10.33426920031819	115.8545727136432	3.4465090124923625	22.28328935795954
RP11-54O7.18	14.109194729291925	38.113590263691684	5.100618160485112	23.867137355584084
RNF223	47.724571658217144	737.9671150971599	14.027217803155997	483.51091519731324
C1orf159	2.435169637815679	7.944787077826725	1.2202506314022736	3.0973734297677957
LINC01342	22.702296068492647	130.3768115942029	5.976950759154047	28.41541755888651
MIR200B	2.7941930071787606	18.93553486738099	1.6559466353410561	26.353734439834028
MIR200A	2.060548987329248	18.658980582524272	1.0951179833321973	9.771271729185727
MIR429	2.6782873942836747	21.905414667580533	0.9609795616605945	6.5583874729302005
RP11-465B22.8	37.69652602176699	461.17216117216117	11.06586396781694	210.9157509157509
TTLL10-AS1	14.951496717026536	149.8639455782313	4.5975993378311175	41.74061433447099
TTLL10	25.019171224252386	573.8372093023255	4.959575287998052	58.287546037375535
